[    5.131348] grsec: mount of none to /proc by /sbin/init[init:1] uid/euid:0/0 gid/egid:0/0, parent /[swapper/0:0] uid/euid:0/0 gid/egid:0/0
[   72.765276] grsec: (default:D:/) denied open of /root/regression/rbac_fs/writefile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.765593] grsec: (default:D:/) denied unlink of /root/regression/rbac_fs/writefile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.765932] grsec: (default:D:/) denied open of /root/regression/rbac_fs/findfile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.765967] grsec: (default:D:/) denied open of /root/regression/rbac_fs/findfile1.txt for writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766002] grsec: (default:D:/) denied open of /root/regression/rbac_fs/findfile1.txt for reading by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766040] grsec: (default:D:/) denied chmod of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766077] grsec: (default:D:/) denied truncate of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766113] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766148] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766184] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766221] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766283] grsec: (default:D:/) denied unlink of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766333] grsec: (default:D:/) denied open of /root/regression/rbac_fs/findfile1.txt for reading writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766367] grsec: (default:D:/) denied open of /root/regression/rbac_fs/findfile1.txt for writing by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766401] grsec: (default:D:/) denied open of /root/regression/rbac_fs/findfile1.txt for reading by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766493] grsec: (default:D:/) denied chmod of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766528] grsec: (default:D:/) denied chown of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766565] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766601] grsec: (default:D:/) denied access time change of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766653] grsec: (default:D:/) denied unlink of /root/regression/rbac_fs/findfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766709] grsec: (default:D:/) denied access to hidden file /proc/uptime by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766754] grsec: (default:D:/) denied access to hidden file /proc/sys/vm/mmap_min_addr by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766788] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766840] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766873] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.766945] grsec: (default:D:/) denied access to hidden file /proc/uptime by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767012] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767048] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767086] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767122] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767164] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767222] grsec: (default:D:/) denied access to hidden file /proc/uptime by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767284] grsec: (default:D:/) denied access to hidden file /proc/sys/vm/mmap_min_addr by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767318] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767351] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddendir by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767388] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddendir by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767472] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767508] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767543] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767579] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767615] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767651] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddensymlink.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767685] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767865] grsec: (default:D:/) denied access to hidden file /proc/uptime by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767926] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
[   72.767959] grsec: (default:D:/) denied access to hidden file /root/regression/rbac_fs/hiddenfile1.txt by /root/regression/rbac_test[rbac_test:3600] uid/euid:0/0 gid/egid:0/0, parent /bin/bash[bash:3596] uid/euid:0/0 gid/egid:0/0
